index,problem,answer,title,description,tags,prompt,voice_category
1,"Did you know? The shortest war in history lasted only 38 minutes!","It was the Anglo-Zanzibar War in 1896. The British attacked after the Sultan refused to step down. The battle ended in just 38 minutes!","The 38-Minute War","Learn about the incredibly brief Anglo-Zanzibar War, a historical anomaly.","#HistoryFacts #ShortestWar #AngloZanzibarWar #WeirdHistory #QuickFacts #HistoricalEvents #BritishEmpire #AfricaHistory #19thCentury #MilitaryHistory","Ghibli style, tense scene at the Anglo-Zanzibar War of 1896.",Brian
2,"Did you know? Cleopatra lived closer in time to the invention of the iPhone than to the building of the Great Pyramid of Giza!","Cleopatra lived around 69-30 BCE, while the Great Pyramid was completed around 2560 BCE. The first iPhone was released in 2007 CE, making Cleopatra's era much closer to our modern times than to ancient Egypt's pyramid construction.","Cleopatra's Time Paradox","Explore the surprising timeline of Cleopatra's life in relation to ancient and modern milestones.","#HistoryFacts #Cleopatra #AncientEgypt #TimePerspective #iPhone #GreatPyramid #HistoricalTimeline #AncientHistory #ModernHistory #MindBlowingFacts","Ghibli style, tense scene showing a ghostly image of Cleopatra looking at a modern iPhone held by an ancient Egyptian worker near the Great Pyramid.",Ava
3,"Did you know? There's a planet made entirely of diamonds!","Named '55 Cancri e', this exoplanet is twice the size of Earth and has a mass eight times greater. Scientists believe it's composed largely of pure carbon in the form of diamond.","The Diamond Planet","Discover the incredible existence of a planet made of pure diamond, far beyond our solar system.","#SpaceFacts #DiamondPlanet #55Cancrie #Exoplanets #AstronomyFacts #ScienceFacts #Universe #SpaceExploration #AmazingFacts #Cosmos","Ghibli style, tense scene of a shimmering, giant diamond planet in the vastness of space.",Aria
4,"Did you know? Octopuses have three hearts!","Two hearts pump blood through the gills, and a third circulates oxygenated blood to the rest of the body. Interestingly, the systemic heart stops beating when the octopus swims, which is why they tend to crawl more than swim long distances.","The Three-Hearted Octopus","Learn about the unique circulatory system of octopuses and their fascinating three hearts.","#AnimalFacts #Octopus #MarineBiology #OceanLife #WildlifeFacts #ScienceFacts #AmazingAnimals #UnderwaterWorld #BiologyFacts #NatureFacts","Ghibli style, tense scene of an octopus with glowing hearts visible within its body, swimming in the deep sea.",Ana
5,"Did you know? Bananas are berries, but strawberries aren't!","Botanically, a berry develops from a single flower with one ovary and typically contains multiple seeds. Bananas fit this description, while strawberries develop from a flower with multiple ovaries, making them an aggregate fruit.","The Berry Paradox","Unravel the botanical classification of common fruits and the surprising truth about bananas and strawberries.","#ScienceFacts #BotanyFacts #FruitFacts #Bananas #Strawberries #FoodScience #InterestingFacts #PlantBiology #NatureFacts #DidYouKnow","Ghibli style, tense scene of a banana and a strawberry facing each other, with botanical diagrams in the background.",Ana
6,"Did you know? The Eiffel Tower can grow by up to 15 cm (6 inches) in the summer!","Due to thermal expansion, the iron in the Eiffel Tower expands when heated by the sun, causing its height to increase.","The Growing Eiffel Tower","Discover how the iconic Eiffel Tower changes its size with the seasons due to thermal expansion.","#ScienceFacts #EiffelTower #Paris #EngineeringFacts #PhysicsFacts #ThermalExpansion #InterestingFacts #Landmarks #TravelFacts #DidYouKnow","Ghibli style, tense scene of the Eiffel Tower subtly stretching upwards under the summer sun, with heat waves emanating from its structure.",Aria
7,"Did you know? There are more trees on Earth than stars in the Milky Way galaxy!","Scientists estimate there are around 3 trillion trees on Earth, while the Milky Way is thought to contain between 100 and 400 billion stars.","Earth's Abundant Trees","Reflect on the sheer number of trees on our planet compared to the vastness of stars in our galaxy.","#NatureFacts #EarthFacts #SpaceFacts #Trees #MilkyWay #AstronomyFacts #ScienceFacts #Environment #AmazingFacts #DidYouKnow","Ghibli style, tense scene showing a dense forest stretching to the horizon under a night sky filled with the faint glow of the Milky Way.",Brian
8,"Did you know? The sound of a whip cracking is actually a tiny sonic boom!","The tip of a whip moves so fast that it breaks the sound barrier, creating a small but audible sonic boom.","The Sonic Whip Crack","Understand the physics behind the sharp sound of a cracking whip.","#ScienceFacts #PhysicsFacts #SonicBoom #InterestingFacts #SoundFacts #DidYouKnow #CoolFacts #AmazingScience #EverydayScience #TheMoreYouKnow","Ghibli style, tense scene of a whip cracking, with visible shockwaves emanating from its tip.",Brian
9,"Did you know? A sneeze can travel up to 100 miles per hour!","When you sneeze, the force behind it can propel droplets of mucus and saliva at incredibly high speeds.","The Speedy Sneeze","Learn about the surprising velocity of a human sneeze and why it's important to cover your mouth.","#HumanBodyFacts #HealthFacts #ScienceFacts #Sneezing #InterestingFacts #BiologyFacts #Hygiene #DidYouKnow #MedicalFacts #FunFacts","Ghibli style, tense scene depicting the invisible force and speed of a sneeze as it travels through the air.",Ana
10,"Did you know? There's a species of jellyfish that is biologically immortal!","The Turritopsis dohrnii, also known as the immortal jellyfish, can revert back to its polyp stage after reaching maturity, essentially resetting its life cycle.","The Immortal Jellyfish","Discover the fascinating ability of the Turritopsis dohrnii to potentially live forever.","#AnimalFacts #Jellyfish #MarineBiology #Immortality #ScienceFacts #OceanLife #WildlifeFacts #AmazingAnimals #BiologyFacts #NatureFacts","Ghibli style, tense scene of a glowing Turritopsis dohrnii jellyfish gracefully swimming in a deep ocean current.",Aria
